date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-03/2022-12-31,7,10,1,0.999,0.3,208,nsmallest,189.05525,1.26355,0.94
2000-08-08/2022-12-31,5,4,1,0.999,0.3,208,nsmallest,188.04766,1.26343,0.99
2000-08-05/2022-12-31,6,3,1,0.998,0.3,208,nsmallest,186.84749,1.26296,0.98
2000-08-01/2022-12-31,5,5,1,0.999,0.3,208,nsmallest,185.50679,1.26241,0.98
2000-08-01/2022-12-31,4,7,1,1.0,0.3,208,nsmallest,181.90109,1.2613,0.97
2000-08-02/2022-12-31,8,9,1,1.0,0.3,208,nsmallest,180.57477,1.26093,0.94
2000-08-03/2022-12-31,2,13,1,1.0,0.3,208,nsmallest,179.68693,1.26068,0.98
2000-08-05/2022-12-31,2,6,2,0.999,0.3,208,nsmallest,178.08616,1.26025,0.99
2000-08-01/2022-12-31,4,5,1,1.0,0.3,208,nsmallest,178.12591,1.26012,0.99
2000-08-03/2022-12-31,2,9,1,0.999,0.3,208,nsmallest,177.58657,1.26002,1.0
2000-08-09/2022-12-31,3,5,1,1.0,0.3,208,nsmallest,176.73319,1.25997,1.0
2000-08-04/2022-12-31,2,5,2,0.998,0.3,208,nsmallest,176.41038,1.25968,1.0
2000-08-04/2022-12-31,7,4,1,1.0,0.3,208,nsmallest,175.62832,1.25943,1.0
2000-08-03/2022-12-31,7,10,1,0.998,0.3,208,nsmallest,173.00523,1.25855,0.94
2000-08-04/2022-12-31,4,9,1,1.0,0.3,208,nsmallest,171.3532,1.25805,0.94
2000-08-05/2022-12-31,3,3,2,0.998,0.3,208,nsmallest,169.5939,1.25751,0.99
2000-08-05/2022-12-31,3,10,1,0.999,0.3,208,nsmallest,169.01646,1.25732,0.83
2000-08-01/2022-12-31,4,9,1,0.999,0.3,208,nsmallest,168.91601,1.25714,1.0
2000-08-04/2022-12-31,3,3,2,1.0,0.3,208,nsmallest,168.28615,1.25704,0.99
2000-08-03/2022-12-31,3,4,2,0.998,0.3,208,nsmallest,166.93169,1.25655,1.0
2000-08-08/2022-12-31,2,4,2,1.0,0.3,208,nsmallest,165.98108,1.2564,1.0
2000-08-07/2022-12-31,2,4,2,1.0,0.3,208,nsmallest,165.98108,1.25637,1.0
