,,,,,,,,,,,median,median,median,mean,mean,mean,min,min,min,max,max,max,count,count,count
year,,,,,,,,,,,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,
Open,Open,Open,nsmallest,-999,4,2,1,0.999,0.002,1254,1.1515,1.0877,1.1515,1.1638857142857142,1.12878,1.1546473684210528,1.1045,0.995,0.995,1.2151,1.2791,1.2791,14,5,19
Close,Open,Open,nsmallest,-999,4,1,2,0.999,0.002,1254,1.1222,1.1739,1.1222,1.1435357142857143,1.13644,1.1416684210526316,1.1202,1.0075,1.0075,1.1943,1.2157,1.2157,14,5,19
Open,Open,Open,nsmallest,-999,4,1,2,0.999,0.002,1254,1.1222,1.1739,1.1222,1.1435357142857143,1.13644,1.1416684210526316,1.1202,1.0075,1.0075,1.1943,1.2157,1.2157,14,5,19
Open,Open,Open,nsmallest,-999,4,1,1,0.999,0.002,1254,1.1038,1.079,1.1038,1.1231642857142856,1.08222,1.1123894736842106,1.1003,0.9404,0.9404,1.1684,1.2073,1.2073,14,5,19
Close,Open,Open,nsmallest,-999,4,1,1,0.999,0.002,1254,1.1038,1.079,1.1038,1.1231642857142856,1.08222,1.1123894736842106,1.1003,0.9404,0.9404,1.1684,1.2073,1.2073,14,5,19
All,,,,,,,,,,,1.06225,1.04455,1.0531,1.1064361111111112,1.101608611111111,1.105165716374269,0.7733,0.7475,0.7475,1.7531,2.009,2.009,2016,720,2736
Open,Close,Close,nsmallest,-999,2,3,2,0.999,0.002,1254,1.0262,1.009,1.0261,1.0191642857142857,0.9750599999999998,1.007557894736842,0.9962,0.8545,0.8545,1.0325,1.0572,1.0572,14,5,19
Close,Close,Close,nsmallest,-999,2,3,2,0.999,0.002,1254,1.0262,1.009,1.0261,1.0191642857142857,0.9750599999999998,1.007557894736842,0.9962,0.8545,0.8545,1.0325,1.0572,1.0572,14,5,19
Close,Close,Close,nsmallest,-999,3,2,1,0.999,0.002,1254,1.0112,0.9594,1.0112,0.9940214285714285,0.9591200000000001,0.9848368421052631,0.9529,0.8849,0.8849,1.0267,1.04,1.04,14,5,19
Open,Close,Close,nsmallest,-999,3,2,1,0.999,0.002,1254,1.0112,0.9594,1.0112,0.9940214285714285,0.9591200000000001,0.9848368421052631,0.9529,0.8849,0.8849,1.0267,1.04,1.04,14,5,19
Close,Close,Close,nsmallest,-999,3,3,2,0.999,0.002,1254,1.0094,0.967,1.0076,1.0122285714285715,0.9778600000000001,1.0031842105263158,0.9723,0.8961,0.8961,1.0427,1.1063,1.1063,14,5,19
Open,Close,Close,nsmallest,-999,3,3,2,0.999,0.002,1254,1.0094,0.967,1.0076,1.0122285714285715,0.9778600000000001,1.0031842105263158,0.9723,0.8961,0.8961,1.0427,1.1063,1.1063,14,5,19
Open,Close,Close,nsmallest,-999,4,3,2,0.999,0.002,1254,1.01055,0.9794,1.0056,1.0096785714285714,1.0072,1.0090263157894739,0.9665,0.9393,0.9393,1.0451,1.1003,1.1003,14,5,19
Close,Close,Close,nsmallest,-999,4,3,2,0.999,0.002,1254,1.01055,0.9794,1.0056,1.0096785714285714,1.0072,1.0090263157894739,0.9665,0.9393,0.9393,1.0451,1.1003,1.1003,14,5,19
Close,Close,Close,nsmallest,-999,4,2,2,0.999,0.002,1254,0.9985,0.9938,0.9985,1.012,0.98248,1.0042315789473684,0.9752,0.8716,0.8716,1.0531,1.0588,1.0588,14,5,19
Open,Close,Close,nsmallest,-999,4,2,2,0.999,0.002,1254,0.9985,0.9938,0.9985,1.012,0.98248,1.0042315789473684,0.9752,0.8716,0.8716,1.0531,1.0588,1.0588,14,5,19
Close,Close,Open,nsmallest,-999,2,3,2,0.999,0.002,1254,0.9984999999999999,0.9603,0.998,1.00775,0.9756,0.9992894736842105,0.9719,0.8469,0.8469,1.0308,1.078,1.078,14,5,19
Open,Close,Open,nsmallest,-999,3,3,2,0.999,0.002,1254,1.0012,0.972,0.998,1.001742857142857,0.95168,0.9885684210526317,0.9562,0.8822,0.8822,1.0417,0.998,1.0417,14,5,19
Close,Close,Open,nsmallest,-999,3,3,2,0.999,0.002,1254,1.0012,0.972,0.998,1.001742857142857,0.95168,0.9885684210526317,0.9562,0.8822,0.8822,1.0417,0.998,1.0417,14,5,19
Open,Close,Open,nsmallest,-999,2,3,2,0.999,0.002,1254,0.9984999999999999,0.9603,0.998,1.00775,0.9756,0.9992894736842105,0.9719,0.8469,0.8469,1.0308,1.078,1.078,14,5,19
Open,Close,Close,nsmallest,-999,2,2,2,0.999,0.002,1254,1.01095,0.9847,0.9916,1.0141,0.9637600000000001,1.0008526315789474,0.982,0.8496,0.8496,1.0442,1.0202,1.0442,14,5,19
Close,Close,Close,nsmallest,-999,2,2,2,0.999,0.002,1254,1.01095,0.9847,0.9916,1.0141,0.9637600000000001,1.0008526315789474,0.982,0.8496,0.8496,1.0442,1.0202,1.0442,14,5,19
Open,Close,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,0.991,0.9685,0.9909,0.9748714285714285,1.0034,0.982378947368421,0.9423,0.9318,0.9318,0.9951,1.1704,1.1704,14,5,19
Close,Close,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,0.991,0.9685,0.9909,0.9748714285714285,1.0034,0.982378947368421,0.9423,0.9318,0.9318,0.9951,1.1704,1.1704,14,5,19
