date_range,year,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,nlargest_nsmallest,total_profit,yearly_profit,win_ratio
2021-01-06/2021-12-31,2021,2,1,1,0.999,0.002,1254,nlargest,6.54353,6.76106,0.99
2005-01-07/2005-12-31,2005,2,1,1,0.999,0.002,1254,nlargest,5.94055,6.15883,0.96
2012-01-03/2012-12-31,2012,2,1,1,0.999,0.002,1254,nlargest,6.08261,6.15106,1.0
2000-08-10/2022-12-31,2000,2,1,1,0.999,0.002,1254,nlargest,4.404979565253947e+17,6.13794,0.99
2000-08-07/2022-12-31,2000,2,1,1,0.999,0.002,1254,nlargest,4.383007421673963e+17,6.13249,0.99
2000-08-06/2022-12-31,2000,2,1,1,0.999,0.002,1254,nlargest,4.383007421673963e+17,6.13113,0.99
2000-08-05/2022-12-31,2000,2,1,1,0.999,0.002,1254,nlargest,4.383007421673963e+17,6.12977,0.99
2000-08-02/2022-12-31,2000,2,1,1,0.999,0.002,1254,nlargest,4.361144875672442e+17,6.12433,0.99
2015-01-06/2015-12-31,2015,2,1,1,0.999,0.002,1254,nlargest,5.87,6.05368,0.98
2005-01-04/2005-12-31,2005,2,1,1,0.999,0.002,1254,nlargest,5.91092,6.03587,0.94
2015-01-05/2015-12-31,2015,2,1,1,0.999,0.002,1254,nlargest,5.86413,6.01737,0.98
