date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-01/2022-12-31,2,4,1,0.997,0.2,208,nsmallest,592.32474,1.32952,1.0
2000-08-03/2022-12-31,3,4,2,0.997,0.2,208,nsmallest,589.97036,1.32937,1.0
2000-08-07/2022-12-31,3,5,2,0.997,0.2,208,nsmallest,586.92625,1.32925,1.0
2000-08-06/2022-12-31,3,5,2,0.997,0.2,208,nsmallest,586.92625,1.3292,1.0
2000-08-08/2022-12-31,4,3,1,0.997,0.2,208,nsmallest,576.50514,1.32823,0.99
2000-08-01/2022-12-31,5,5,1,0.999,0.2,208,nsmallest,578.81759,1.32815,0.98
2000-08-09/2022-12-31,2,4,1,0.997,0.2,208,nsmallest,572.23646,1.32784,1.0
2000-08-08/2022-12-31,3,5,2,0.997,0.2,208,nsmallest,568.06397,1.32736,1.0
2000-08-02/2022-12-31,3,2,1,0.999,0.2,208,nsmallest,565.40913,1.32681,1.0
2000-08-09/2022-12-31,3,2,1,0.999,0.2,208,nsmallest,562.21688,1.32679,1.0
2000-08-04/2022-12-31,5,4,1,0.998,0.2,208,nsmallest,552.3916,1.32552,1.0
2000-08-05/2022-12-31,6,3,1,0.998,0.2,208,nsmallest,550.96272,1.32541,0.98
2000-08-08/2022-12-31,2,4,2,0.999,0.2,208,nsmallest,544.77941,1.32488,1.0
2000-08-07/2022-12-31,2,4,2,0.999,0.2,208,nsmallest,544.77941,1.32483,1.0
2000-08-06/2022-12-31,2,4,2,0.999,0.2,208,nsmallest,544.77941,1.32479,1.0
2000-08-03/2022-12-31,3,3,2,0.999,0.2,208,nsmallest,530.49014,1.32308,0.99
2000-08-05/2022-12-31,4,6,1,0.999,0.2,208,nsmallest,515.68928,1.3215,0.98
2000-08-07/2022-12-31,4,4,1,0.998,0.2,208,nsmallest,513.3032,1.32132,1.0
2000-08-03/2022-12-31,5,3,1,0.999,0.2,208,nsmallest,514.87574,1.32132,1.0
2000-08-06/2022-12-31,4,4,1,0.998,0.2,208,nsmallest,513.3032,1.32127,1.0
2000-08-08/2022-12-31,4,4,1,0.998,0.2,208,nsmallest,510.97637,1.3211,1.0
2000-08-02/2022-12-31,5,6,1,0.999,0.2,208,nsmallest,512.05316,1.32095,1.0
2000-08-01/2022-12-31,3,4,1,0.998,0.2,208,nsmallest,511.09795,1.3208,1.0
2000-08-05/2022-12-31,2,4,2,0.998,0.2,208,nsmallest,506.69466,1.32047,0.98
2000-08-02/2022-12-31,2,3,1,0.997,0.2,208,nsmallest,506.56356,1.32032,1.0
2000-08-02/2022-12-31,5,2,1,0.998,0.2,208,nsmallest,493.84159,1.31882,0.99
2000-08-02/2022-12-31,3,2,2,0.999,0.2,208,nsmallest,491.56599,1.31855,1.0
2000-08-09/2022-12-31,3,2,2,0.999,0.2,208,nsmallest,488.79065,1.31852,1.0
2000-08-07/2022-12-31,3,3,1,0.999,0.2,208,nsmallest,489.40951,1.31851,1.0
2000-08-06/2022-12-31,3,3,1,0.999,0.2,208,nsmallest,489.40951,1.31847,1.0
2000-08-09/2022-12-31,2,3,1,0.997,0.2,208,nsmallest,488.05944,1.31844,0.99
2000-08-08/2022-12-31,6,2,2,0.999,0.2,208,nsmallest,487.05924,1.31827,0.99
2000-08-07/2022-12-31,6,2,2,0.999,0.2,208,nsmallest,486.7302,1.31819,0.99
2000-08-06/2022-12-31,6,2,2,0.999,0.2,208,nsmallest,486.7302,1.31814,0.99
2000-08-01/2022-12-31,2,4,2,0.999,0.2,208,nsmallest,488.47289,1.31813,1.0
2000-08-09/2022-12-31,2,4,2,0.999,0.2,208,nsmallest,481.22638,1.31761,1.0
2000-08-08/2022-12-31,3,3,1,0.999,0.2,208,nsmallest,475.16062,1.31682,1.0
2000-08-03/2022-12-31,3,2,2,0.997,0.2,208,nsmallest,474.83993,1.31656,1.0
2000-08-05/2022-12-31,4,2,1,0.999,0.2,208,nsmallest,473.1271,1.31643,1.0
2000-08-01/2022-12-31,4,2,2,0.999,0.2,208,nsmallest,472.7396,1.31621,1.0
2000-08-09/2022-12-31,2,5,1,0.999,0.2,208,nsmallest,469.45094,1.31615,0.99
2000-08-09/2022-12-31,4,2,2,0.999,0.2,208,nsmallest,457.93946,1.31469,0.99
2000-08-04/2022-12-31,7,2,1,0.997,0.2,208,nsmallest,459.13697,1.31462,0.94
2000-08-08/2022-12-31,2,6,1,0.999,0.2,208,nsmallest,457.74024,1.31462,0.97
2000-08-07/2022-12-31,2,6,1,0.999,0.2,208,nsmallest,457.74024,1.31458,0.97
2000-08-04/2022-12-31,3,3,1,0.998,0.2,208,nsmallest,458.67326,1.31457,0.99
2000-08-06/2022-12-31,2,6,1,0.999,0.2,208,nsmallest,457.74024,1.31453,0.97
2000-08-04/2022-12-31,4,2,2,0.999,0.2,208,nsmallest,454.64826,1.31405,0.99
2000-08-05/2022-12-31,2,6,2,0.998,0.2,208,nsmallest,451.61129,1.3137,0.99
2000-08-07/2022-12-31,5,4,1,0.998,0.2,208,nsmallest,442.56437,1.3126,0.99
2000-08-06/2022-12-31,5,4,1,0.998,0.2,208,nsmallest,442.56437,1.31256,0.99
2000-08-02/2022-12-31,3,2,1,0.998,0.2,208,nsmallest,440.87414,1.31216,1.0
2000-08-09/2022-12-31,3,5,1,0.999,0.2,208,nsmallest,437.65696,1.31203,1.0
2000-08-07/2022-12-31,3,2,1,0.998,0.2,208,nsmallest,438.03185,1.312,1.0
2000-08-06/2022-12-31,3,2,1,0.998,0.2,208,nsmallest,438.03185,1.31195,1.0
