date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,4.280184455208539e+16,4.881755499211078e+16,0.57
2003-01-03/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,2.819369630636881e+16,3.961319266672462e+16,0.56
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,2.9451181628387784e+16,3.354738777144846e+16,0.72
2001-01-03/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,2.1633765692093644e+16,3.032405763489992e+16,0.49
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,2,0.999,0.002,1254,1.9271472020503884e+16,2.4313889796185944e+16,0.7
2001-01-02/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,1.0184518924625906e+16,1.2798624319576448e+16,0.59
2001-01-05/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,7261091854407266.0,1.236824868403606e+16,0.47
2003-01-07/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,5274458210948890.0,1.0979281387363974e+16,0.71
2001-01-04/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,6456144807330798.0,9910641278348602.0,0.56
2003-01-03/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,6650562286604795.0,9223896350274594.0,0.52
2001-01-02/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,7224873354319118.0,9060012006908032.0,0.47
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,6993884561378741.0,8768585167540150.0,0.67
2001-01-05/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,4964198189721941.0,8409049547322347.0,0.47
2001-01-04/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,5292736011276771.0,8105742663773803.0,0.55
2001-01-01/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,6860895678560237.0,7776138581468794.0,0.57
2003-01-06/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,2,0.999,0.002,1254,3493044468871908.5,6513329843486029.0,0.79
2003-01-01/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,2,0.999,0.002,1254,5730830147200152.0,6491309178028958.0,0.66
2001-01-02/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,4939436650248657.0,6179484964615951.0,0.47
2001-01-02/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,4501444728304191.0,5628294717602447.0,0.58
2004-01-06/2004-12-31,2004,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,3153770830254798.5,5307069048012343.0,0.51
2004-01-06/2004-12-31,2004,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,3133331422016031.5,5272174298899297.0,0.48
2002-01-03/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,2572484089454419.0,3537572192068610.0,0.6
2003-01-06/2003-12-31,2003,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,1830112243882568.8,3374344242145460.0,0.4
2003-01-07/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,1,2,0.999,0.002,1254,1635254687843621.2,3324158744469461.0,0.65
2004-01-01/2004-12-31,2004,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,3138039745814066.5,3215678260329878.0,0.5
2004-01-01/2004-12-31,2004,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,3117702289833161.0,3194823405566026.5,0.48
2001-01-05/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,1798810443894431.8,3002298971706723.5,0.49
2003-01-03/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,2005644045206310.0,2751921059878363.0,0.68
2001-01-05/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,1495235330467400.5,2488899714656070.5,0.48
2003-01-07/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,1179484521643754.2,2381853598239841.0,0.54
2003-01-01/2003-12-31,2003,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,2040454894015676.8,2303040687828295.5,0.41
2001-01-01/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,1789837934315006.2,2019262947958090.5,0.48
2001-01-03/2001-12-31,2001,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,1256823181919550.8,1717251738156694.0,0.51
2003-01-01/2003-12-31,2003,Close,Open,Open,nsmallest,-9999,2,1,2,0.999,0.002,1254,1503035418397166.0,1694680872272990.0,0.62
2001-01-01/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,1487777060825011.2,1677418211105799.2,0.47
2002-01-03/2002-12-31,2002,Open,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,1043375281939905.4,1423228426777192.2,0.64
2001-01-03/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,813646287469179.5,1107388618467672.6,0.48
2004-01-06/2004-12-31,2004,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,669946630888356.0,1102181948240798.8,0.6
2003-01-01/2003-12-31,2003,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,554802081660297.8,623405205304478.0,0.48
2001-01-02/2001-12-31,2001,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,504517184242279.8,622313886292088.0,0.59
2003-01-02/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,479615885696865.0,591412954699562.5,0.58
2003-01-02/2003-12-31,2003,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,468820786627398.56,578019982047096.4,0.57
2003-01-06/2003-12-31,2003,Close,Open,Open,nsmallest,-9999,2,1,2,0.999,0.002,1254,273427375477995.4,487730339921810.8,0.61
2004-01-05/2004-12-31,2004,Close,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,246930178690650.7,364767245242146.0,0.49
2001-01-02/2001-12-31,2001,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,268653269431722.75,330087646707712.0,0.58
2003-01-02/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,218349287948761.12,267935846027464.4,0.48
2002-01-03/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,178443699562562.0,239579568997783.6,0.38
2003-01-07/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,123445170448825.77,238147559401101.6,0.57
2004-01-06/2004-12-31,2004,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,145467705860680.2,234049078644051.7,0.79
2001-01-05/2001-12-31,2001,Open,Open,Open,nsmallest,-9999,3,1,1,0.999,0.002,1254,114073896334687.86,182888715142054.56,0.46
2004-01-01/2004-12-31,2004,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,151253980498142.7,154674578285146.9,0.79
2001-01-05/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,80773417727158.9,128849515858718.44,0.64
2001-01-01/2001-12-31,2001,Open,Open,Open,nsmallest,-9999,3,1,1,0.999,0.002,1254,113504893007461.56,126847067192336.31,0.45
2002-01-02/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,97209678015258.48,118688921461343.95,0.45
2001-01-05/2001-12-31,2001,Close,Open,Open,nsmallest,-9999,3,1,1,0.999,0.002,1254,73175518869699.3,116561325824434.44,0.44
2003-01-07/2003-12-31,2003,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,56159153951863.59,106626591338981.66,0.48
2001-01-05/2001-12-31,2001,Close,Open,Open,nsmallest,-9999,3,2,1,0.999,0.002,1254,64420398498759.8,102424770225082.48,0.64
2001-01-05/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,59626363925669.22,94695673100473.95,0.6
2002-01-07/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,49170745267213.59,93107137712575.77,0.65
2004-01-06/2004-12-31,2004,Open,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,57350983664016.39,91030359711404.77,0.6
2001-01-05/2001-12-31,2001,Open,Open,Open,nsmallest,-9999,3,2,1,0.999,0.002,1254,51580327138917.66,81744363882382.61,0.6
2001-01-01/2001-12-31,2001,Close,Open,Open,nsmallest,-9999,3,1,1,0.999,0.002,1254,72810517628870.17,81245217782781.02,0.44
2002-01-07/2002-12-31,2002,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,40864188919830.95,77088853558257.9,0.42
2004-01-05/2004-12-31,2004,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,51199388787308.16,74244098447662.02,0.47
2002-01-02/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,3,2,1,0.999,0.002,1254,60745582048421.22,73951962942227.83,0.43
2002-01-03/2002-12-31,2002,Close,Open,Open,nsmallest,-9999,2,1,2,0.999,0.002,1254,53236070381969.17,70703107637033.0,0.59
2002-01-02/2002-12-31,2002,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,48925480412078.31,59482277546252.05,0.64
2001-01-05/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,37589808814425.92,59297978651170.98,0.71
2001-01-05/2001-12-31,2001,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,35709030088916.48,56288896432573.92,0.45
2002-01-02/2002-12-31,2002,Open,Open,Close,nsmallest,-9999,2,1,1,0.999,0.002,1254,40660357366715.92,49377097584117.59,0.42
2004-01-06/2004-12-31,2004,Close,Open,Open,nsmallest,-9999,3,2,1,0.999,0.002,1254,30192908071793.05,47477396076875.14,0.52
2004-01-02/2004-12-31,2004,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,41766240256041.99,46515767897334.13,0.5
2001-01-05/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,29395319359404.29,46205170059878.34,0.66
2001-01-02/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,37402309947704.89,45397084302984.79,0.7
2001-01-02/2001-12-31,2001,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,35530912591526.84,43111955666843.61,0.44
2001-01-03/2001-12-31,2001,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,28622578282348.0,37802606428521.81,0.48
2001-01-02/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,29248694802360.01,35446559892357.52,0.65
2003-01-02/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,28152325369800.527,34109788857477.64,0.42
2001-01-05/2001-12-31,2001,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,20400426011524.48,31896140978133.1,0.44
2002-01-03/2002-12-31,2002,Open,Open,Open,nsmallest,-9999,2,1,2,0.999,0.002,1254,22808080790304.844,30061893711770.965,0.62
2001-01-02/2001-12-31,2001,Open,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,24490827366015.41,29647846118467.51,0.69
2001-01-02/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,2,2,0.999,0.002,1254,23476371222282.23,28412325406401.883,0.77
2004-01-06/2004-12-31,2004,Open,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,17206173695328.19,26835191501298.76,0.72
2001-01-01/2001-12-31,2001,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,24090374686149.293,26779205493269.062,0.5
2001-01-01/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,23703625979417.59,26347825689910.05,0.69
2001-01-02/2001-12-31,2001,Open,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,20298668197946.035,24544367649934.65,0.43
2001-01-05/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,3,1,2,0.999,0.002,1254,14356503977817.057,22331727635720.008,0.65
2002-01-03/2002-12-31,2002,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,15919407407128.502,20914740675026.69,0.36
2002-01-07/2002-12-31,2002,Close,Open,Open,nsmallest,-9999,2,1,1,0.999,0.002,1254,11232297604774.62,20642334810792.586,0.45
2003-01-07/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,11199834128674.703,20581468116837.168,0.54
2004-01-01/2004-12-31,2004,Close,Open,Close,nsmallest,-9999,3,1,1,0.999,0.002,1254,19662755183463.46,20079348053983.56,0.44
2004-01-02/2004-12-31,2004,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,1254,17518761443776.88,19452815272359.11,0.44
2004-01-01/2004-12-31,2004,Open,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,17890584340783.746,18268448523226.816,0.72
2001-01-03/2001-12-31,2001,Close,Open,Close,nsmallest,-9999,2,1,2,0.999,0.002,1254,13281690233575.363,17420981137610.186,0.65
2002-01-03/2002-12-31,2002,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,13102837706822.084,17184296741729.162,0.45
2003-01-01/2003-12-31,2003,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,1254,14429513632209.203,16011846969880.846,0.55
