date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2022-01-07/2022-12-31,2022,nsmallest,-99.0,4,4,2,0.999,0.002,1254,3478.6121,4103.2164,0.13
2023-01-03/2023-06-23,2023,nsmallest,-0.3,2,4,2,0.999,0.002,1254,47.9825,3897.0264,0.21
2023-01-04/2023-06-23,2023,nsmallest,-99.0,2,3,1,0.999,0.002,1254,41.193,2947.7778,0.22
2022-01-07/2022-12-31,2022,nsmallest,-99.0,4,4,3,0.999,0.002,1254,2196.7435,2567.1725,0.13
2023-01-06/2023-12-23,2023,nsmallest,-99.0,4,3,3,0.999,0.002,1254,1692.6136,2288.926,0.17
2023-01-02/2023-06-23,2023,nsmallest,-99.0,4,1,1,0.999,0.002,1254,36.6657,2097.8744,0.26
2023-01-02/2023-06-23,2023,nsmallest,-0.3,3,3,3,0.999,0.002,1254,35.8909,2004.8529,0.16
2023-01-03/2023-06-23,2023,nsmallest,-99.0,3,2,2,0.999,0.002,1254,34.2017,1890.9199,0.26
2023-01-03/2023-06-23,2023,nsmallest,-99.0,2,1,1,0.999,0.002,1254,30.2743,1457.2136,0.18
2023-01-03/2023-06-23,2023,nsmallest,-0.3,2,4,3,0.999,0.002,1254,30.1989,1449.469,0.21
2023-01-03/2023-06-23,2023,nsmallest,-99.0,3,2,1,0.999,0.002,1254,29.6332,1392.0924,0.17
2023-01-04/2023-06-23,2023,nsmallest,-99.0,2,3,2,0.999,0.002,1254,24.4031,957.1182,0.3
2023-01-03/2023-06-23,2023,nsmallest,-99.0,2,1,2,0.999,0.002,1254,21.8362,725.1588,0.23
2012-01-05/2012-12-31,2012,nsmallest,-99.0,3,1,1,0.999,0.002,1254,556.9933,600.0348,0.29
2023-01-02/2023-06-23,2023,nsmallest,-99.0,4,1,2,0.999,0.002,1254,19.3636,540.7212,0.26
2023-01-03/2023-06-23,2023,nsmallest,-99.0,3,2,3,0.999,0.002,1254,17.2119,436.2019,0.35
2023-01-03/2023-06-23,2023,nsmallest,-99.0,3,1,1,0.999,0.002,1254,17.1375,432.1836,0.24
2023-01-02/2023-06-23,2023,nsmallest,-99.0,4,1,3,0.999,0.002,1254,14.433,289.6974,0.39
2010-01-05/2010-12-31,2010,nsmallest,-99.0,2,1,1,0.999,0.002,1254,264.5125,286.9284,0.2
2023-01-06/2023-12-23,2023,nsmallest,-0.3,2,3,1,0.999,0.002,1254,220.2711,274.2064,0.15
2023-01-03/2023-06-23,2023,nsmallest,-99.0,2,1,3,0.999,0.002,1254,13.61,264.1672,0.28
2023-01-04/2023-06-23,2023,nsmallest,-99.0,2,3,3,0.999,0.002,1254,13.0567,249.688,0.35
2023-01-03/2023-06-23,2023,nsmallest,-99.0,2,2,1,0.999,0.002,1254,13.1479,245.3776,0.24
2023-01-04/2023-06-23,2023,nsmallest,-99.0,4,2,1,0.999,0.002,1254,11.9875,207.8173,0.11
2011-01-05/2011-12-31,2011,nsmallest,-99.0,2,1,1,0.999,0.002,1254,187.1051,201.939,0.27
2023-01-06/2023-12-23,2023,nsmallest,-0.3,2,1,1,0.999,0.002,1254,160.3969,197.1166,0.18
2023-01-04/2023-06-23,2023,nsmallest,-99.0,4,2,2,0.999,0.002,1254,10.8906,169.098,0.11
2023-01-05/2023-12-23,2023,nsmallest,-0.3,2,2,1,0.999,0.002,1254,139.3682,167.8318,0.18
2002-01-02/2002-12-31,2002,nsmallest,-99.0,4,4,1,0.999,0.002,1254,142.7287,147.1858,0.32
