date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2000-08-02/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,496042.6098,1.7953,0.2
2000-08-08/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,482788.839,1.7939,0.2
2000-08-14/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,471377.2474,1.7927,0.2
2000-08-13/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,471377.2474,1.7926,0.2
2000-08-12/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,471377.2474,1.7925,0.2
2023-01-03/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.3024,1.7582,0.21
2000-08-08/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,274927.9928,1.7493,0.19
2000-08-02/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,273556.6453,1.7482,0.19
2000-08-14/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,261070.4844,1.746,0.19
2000-08-13/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,261070.4844,1.7459,0.19
2000-08-12/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,261070.4844,1.7458,0.19
2023-01-05/2023-12-23,2023,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.7073,1.742,0.14
2000-08-02/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,223643.8922,1.7326,0.2
2000-08-08/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,214873.5094,1.7302,0.2
2000-08-14/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,209794.5835,1.729,0.2
2000-08-13/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,209794.5835,1.7289,0.2
2000-08-12/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,209794.5835,1.7288,0.2
2000-08-10/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,183096.7437,1.7181,0.17
2000-08-04/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,182183.4527,1.717,0.17
2000-08-09/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,63827.3767,1.639,0.17
2000-08-03/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,63509.0042,1.638,0.17
2023-01-03/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.2539,1.6213,0.21
2000-08-09/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,33927.3205,1.5934,0.17
2000-08-03/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,33758.0903,1.5925,0.17
2023-01-06/2023-12-23,2023,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.5421,1.5695,0.24
2023-01-06/2023-12-23,2023,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.4745,1.4979,0.26
2023-01-04/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.1683,1.3969,0.1
2023-01-02/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.1578,1.365,0.13
2023-01-02/2023-06-23,2023,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.1436,1.3298,0.17
2023-01-02/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.1218,1.2765,0.13
2023-01-06/2023-12-23,2023,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.2242,1.2343,0.15
2023-01-02/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.0989,1.2216,0.13
2023-01-06/2023-12-23,2023,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.1711,1.1787,0.15
2023-01-06/2023-12-23,2023,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.1403,1.1463,0.18
2023-01-06/2023-12-23,2023,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.1056,1.1101,0.15
2023-01-02/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.0378,1.0819,0.13
2023-01-02/2023-06-23,2023,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.0322,1.0696,0.13
2023-01-06/2023-12-23,2023,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.0172,1.0179,0.12
2023-01-06/2023-12-23,2023,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.0118,1.0122,0.12
2023-01-05/2023-12-23,2023,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,0.9175,0.9146,0.03
2023-01-05/2023-12-23,2023,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,0.9061,0.9027,0.03
2023-01-05/2023-12-23,2023,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,0.8982,0.8946,0.03
2023-01-04/2023-06-23,2023,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,0.9442,0.8839,0.1
2023-01-05/2023-12-23,2023,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,0.88,0.8758,0.03
2023-01-04/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,0.9216,0.8391,0.1
