date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2005-01-04/2005-12-31,4,10,1,0.999,3.7856,3.8454,0.76
2002-01-01/2002-12-31,2,7,1,0.997,3.82723,3.84492,0.89
2005-01-05/2005-12-31,7,6,1,0.998,3.76332,3.83676,1.0
2017-01-05/2017-12-31,5,2,1,0.997,3.7599,3.83322,0.94
2005-01-03/2005-12-31,4,10,1,0.999,3.7856,3.83111,0.76
2019-01-04/2019-12-31,2,10,2,0.999,3.76996,3.82932,0.95
2001-01-03/2001-12-31,7,10,1,0.998,3.78373,3.82921,0.79
2001-01-01/2001-12-31,7,6,1,0.997,3.80905,3.82658,1.0
2001-01-02/2001-12-31,7,10,1,0.998,3.78373,3.81507,0.79
2005-01-07/2005-12-31,3,3,1,0.999,3.70922,3.80901,0.98
2019-01-04/2019-12-31,2,10,2,0.998,3.74507,3.80374,0.95
2005-01-04/2005-12-31,4,3,1,0.999,3.7433,3.80193,0.78
2001-01-03/2001-12-31,7,10,1,0.997,3.74975,3.7945,0.79
2005-01-03/2005-12-31,4,3,1,0.999,3.7433,3.78793,0.78
2005-01-04/2005-12-31,4,10,1,0.998,3.72916,3.78739,0.76
2005-01-07/2005-12-31,3,3,1,0.998,3.68799,3.78677,0.98
2001-01-02/2001-12-31,7,10,1,0.997,3.74975,3.78059,0.79
2005-01-05/2005-12-31,7,6,1,0.997,3.70715,3.77867,1.0
2019-01-04/2019-12-31,2,7,2,0.997,3.71783,3.77575,0.96
2005-01-03/2005-12-31,4,10,1,0.998,3.72916,3.77348,0.76
2001-01-02/2001-12-31,6,7,2,0.998,3.73826,3.76894,1.0
2020-01-07/2020-12-31,2,5,2,0.997,3.68274,3.76728,0.8
2019-01-04/2019-12-31,2,10,2,0.997,3.68528,3.74231,0.95
2019-01-04/2019-12-31,2,7,2,0.999,3.68346,3.74043,0.93
2005-01-06/2005-12-31,2,6,1,0.999,3.64537,3.72838,0.9
2001-01-02/2001-12-31,6,7,2,0.997,3.69696,3.72704,1.0
2002-01-07/2002-12-31,4,3,1,0.999,3.62718,3.72307,0.91
2017-01-06/2017-12-31,2,3,1,0.999,3.6364,3.71905,1.0
2002-01-07/2002-12-31,7,5,1,0.999,3.6233,3.71901,0.7
2008-01-03/2008-12-31,2,2,1,0.999,3.68464,3.71454,0.7
2020-01-07/2020-12-31,2,5,2,0.998,3.62664,3.7089,0.8
2008-01-02/2008-12-31,2,2,1,0.999,3.68464,3.70118,0.7
2020-01-06/2020-12-31,2,5,2,0.998,3.62664,3.69542,0.8
2020-01-02/2020-12-31,2,4,1,0.997,3.67795,3.69443,0.88
2005-01-04/2005-12-31,4,3,1,0.998,3.63615,3.69183,0.78
2005-01-06/2005-12-31,2,5,1,0.999,3.60041,3.68161,0.77
2005-01-03/2005-12-31,4,3,1,0.998,3.63615,3.67854,0.78
2005-01-07/2005-12-31,3,3,1,0.997,3.58232,3.6761,0.98
2002-01-07/2002-12-31,7,5,1,0.998,3.57644,3.66994,0.7
2020-01-03/2020-12-31,2,4,1,0.997,3.63587,3.66508,0.86
2002-01-07/2002-12-31,4,3,1,0.997,3.55919,3.65188,0.91
2005-01-05/2005-12-31,5,4,1,0.999,3.57933,3.64652,0.78
2010-01-06/2010-12-31,7,3,1,0.999,3.56182,3.64147,0.71
2017-01-06/2017-12-31,2,3,1,0.998,3.56175,3.64139,1.0
2005-01-06/2005-12-31,2,6,1,0.998,3.55523,3.63461,0.87
2002-01-07/2002-12-31,4,3,1,0.998,3.5375,3.62917,0.91
2002-01-07/2002-12-31,7,5,1,0.997,3.53013,3.62146,0.7
2020-01-07/2020-12-31,2,5,2,0.999,3.51504,3.59281,0.8
2020-01-07/2020-12-31,2,6,2,0.998,3.50417,3.58151,0.87
2020-01-06/2020-12-31,2,5,2,0.999,3.51504,3.58007,0.8
2005-01-06/2005-12-31,2,5,1,0.998,3.50085,3.57806,0.77
2020-01-07/2020-12-31,2,6,2,0.999,3.49885,3.57598,0.94
2010-01-06/2010-12-31,7,3,1,0.998,3.49468,3.57165,0.71
2020-01-06/2020-12-31,2,6,2,0.998,3.50417,3.56884,0.87
2020-01-06/2020-12-31,2,6,2,0.999,3.49885,3.56334,0.94
2005-01-05/2005-12-31,5,4,1,0.998,3.49783,3.56229,0.78
2008-01-03/2008-12-31,2,2,1,0.998,3.52933,3.55702,0.6
2008-01-02/2008-12-31,2,2,1,0.998,3.52933,3.54465,0.6
2005-01-06/2005-12-31,2,6,1,0.997,3.46723,3.5431,0.87
2005-01-07/2005-12-31,7,3,1,0.999,3.43058,3.5173,0.92
2022-01-04/2022-12-31,6,3,1,0.999,3.45578,3.5066,1.0
2017-01-06/2017-12-31,3,2,1,0.999,3.43165,3.50611,0.94
2014-01-07/2014-12-31,3,4,2,0.999,3.41765,3.50378,1.0
2010-01-06/2010-12-31,7,3,1,0.997,3.42875,3.5031,0.67
2017-01-06/2017-12-31,2,3,1,0.997,3.42861,3.50296,1.0
2008-01-03/2008-12-31,2,2,1,0.997,3.47478,3.50171,0.67
2002-01-04/2002-12-31,2,5,1,0.999,3.4487,3.49933,0.91
2020-01-06/2020-12-31,2,6,2,0.997,3.43133,3.49359,0.87
2008-01-02/2008-12-31,2,2,1,0.997,3.47478,3.48967,0.67
2005-01-05/2005-12-31,4,7,1,0.999,3.42436,3.48638,0.77
2020-01-07/2020-12-31,2,6,2,0.997,3.41259,3.4863,0.84
2005-01-07/2005-12-31,7,3,1,0.998,3.39693,3.4821,0.92
2014-01-07/2014-12-31,3,4,2,0.998,3.39675,3.48192,1.0
2005-01-04/2005-12-31,5,6,1,0.999,3.43051,3.48066,0.77
2005-01-05/2005-12-31,5,4,1,0.997,3.4181,3.47992,0.78
2002-01-03/2002-12-31,2,2,1,0.999,3.43555,3.47382,1.0
2005-01-03/2005-12-31,5,6,1,0.999,3.43051,3.46869,0.77
2002-01-02/2002-12-31,2,2,1,0.999,3.43555,3.46193,1.0
2001-01-02/2001-12-31,6,7,2,0.999,3.42574,3.45198,1.0
2022-01-04/2022-12-31,6,3,1,0.998,3.39064,3.43973,1.0
2005-01-07/2005-12-31,3,6,1,0.999,3.34907,3.43206,0.78
2002-01-03/2002-12-31,7,3,1,0.999,3.39371,3.43115,0.96
2002-01-01/2002-12-31,3,4,1,0.999,3.40577,3.42014,0.89
2005-01-07/2005-12-31,7,3,1,0.997,3.33618,3.41858,0.92
2005-01-05/2005-12-31,4,7,1,0.998,3.35645,3.41625,0.77
2005-01-04/2005-12-31,5,6,1,0.998,3.36248,3.41083,0.77
2005-01-04/2005-12-31,6,3,1,0.999,3.35347,3.40159,0.78
2001-01-03/2001-12-31,6,7,2,0.999,3.36267,3.39948,0.95
2005-01-03/2005-12-31,5,6,1,0.998,3.36248,3.39929,0.77
2002-01-04/2002-12-31,2,5,1,0.998,3.34998,3.398,0.89
2014-01-07/2014-12-31,3,4,2,0.997,3.30959,3.39079,1.0
2003-01-03/2003-12-31,2,4,1,0.997,3.35391,3.39055,1.0
2005-01-03/2005-12-31,6,3,1,0.999,3.35347,3.3901,0.78
2005-01-05/2005-12-31,3,4,2,0.997,3.32813,3.387,0.78
2002-01-03/2002-12-31,7,3,1,0.998,3.34982,3.38637,0.96
2002-01-03/2002-12-31,7,7,1,0.999,3.34755,3.38406,0.53
2002-01-03/2002-12-31,2,2,1,0.998,3.34755,3.38406,1.0
2014-01-06/2014-12-31,3,4,2,0.999,3.31352,3.38336,0.94
2017-01-06/2017-12-31,3,2,1,0.998,3.30682,3.37639,0.94
2002-01-02/2002-12-31,7,3,1,0.999,3.3509,3.37611,0.92
2022-01-04/2022-12-31,6,3,1,0.997,3.32667,3.37408,1.0
2005-01-05/2005-12-31,3,4,2,0.999,3.31541,3.37388,0.78
2002-01-02/2002-12-31,7,7,1,0.999,3.34755,3.37272,0.53
2002-01-02/2002-12-31,2,2,1,0.998,3.34755,3.37272,1.0
2014-01-06/2014-12-31,3,4,2,0.998,3.28997,3.35889,0.94
2001-01-03/2001-12-31,6,7,2,0.998,3.32222,3.35822,0.95
2005-01-04/2005-12-31,6,3,1,0.998,3.29914,3.34583,0.78
2005-01-07/2005-12-31,3,6,1,0.998,3.26626,3.3455,0.78
2002-01-03/2002-12-31,7,7,1,0.998,3.30756,3.34328,0.47
2002-01-03/2002-12-31,7,3,1,0.997,3.30644,3.34213,0.96
2020-01-01/2020-12-31,6,10,1,0.999,3.33744,3.34019,0.8
2005-01-03/2005-12-31,6,3,1,0.998,3.29914,3.33468,0.78
2002-01-02/2002-12-31,7,7,1,0.998,3.30756,3.33218,0.47
2002-01-02/2002-12-31,7,3,1,0.998,3.30424,3.32881,0.92
2002-01-01/2002-12-31,3,4,1,0.998,3.31491,3.32858,0.89
2022-01-03/2022-12-31,6,3,1,0.999,3.28258,3.3178,0.96
2001-01-03/2001-12-31,6,7,2,0.997,3.28222,3.31743,0.95
2001-01-01/2001-12-31,3,5,1,0.998,3.29938,3.31294,0.77
2020-01-01/2020-12-31,6,10,1,0.998,3.30087,3.30357,0.8
2002-01-03/2002-12-31,7,7,1,0.997,3.26801,3.30294,0.47
2002-01-04/2002-12-31,2,5,1,0.997,3.25399,3.2995,0.89
2002-01-02/2002-12-31,7,7,1,0.997,3.26801,3.29209,0.47
2002-01-02/2002-12-31,7,3,1,0.997,3.25819,3.28213,0.92
2003-01-03/2003-12-31,2,4,1,0.999,3.24623,3.28073,1.0
2005-01-05/2005-12-31,3,4,2,0.998,3.21907,3.27443,0.78
2005-01-04/2005-12-31,6,3,1,0.997,3.22717,3.27199,0.78
2014-01-06/2014-12-31,3,4,2,0.997,3.20233,3.26788,0.94
2020-01-01/2020-12-31,6,10,1,0.997,3.26467,3.26732,0.8
2005-01-06/2005-12-31,7,10,2,0.999,3.19677,3.26211,0.79
2003-01-03/2003-12-31,2,4,1,0.998,3.22719,3.26132,1.0
2005-01-03/2005-12-31,6,3,1,0.997,3.22717,3.2613,0.78
2005-01-07/2005-12-31,3,6,1,0.997,3.18542,3.26104,0.78
2001-01-03/2001-12-31,3,5,1,0.999,3.22247,3.2565,1.0
2022-01-07/2022-12-31,3,10,1,0.999,3.17863,3.25395,0.83
2005-01-06/2005-12-31,4,2,2,0.999,3.1866,3.25155,0.98
2022-01-03/2022-12-31,6,3,1,0.998,3.21749,3.25142,0.96
2017-01-06/2017-12-31,3,2,1,0.997,3.18641,3.25135,0.94
2010-01-04/2010-12-31,4,2,1,0.999,3.20482,3.24907,0.71
2002-01-03/2002-12-31,2,2,1,0.997,3.21275,3.24659,0.98
2001-01-01/2001-12-31,3,5,1,0.997,3.23065,3.24369,0.77
2001-01-01/2001-12-31,5,5,1,0.999,3.22772,3.24073,0.72
2002-01-01/2002-12-31,3,4,1,0.997,3.22639,3.23939,0.89
2002-01-02/2002-12-31,2,2,1,0.997,3.21275,3.23608,0.98
2005-01-06/2005-12-31,7,10,2,0.998,3.16003,3.22397,0.79
2010-01-05/2010-12-31,4,2,1,0.999,3.164,3.21759,0.69
2001-01-03/2001-12-31,2,5,1,0.999,3.18415,3.21743,0.81
2001-01-02/2001-12-31,2,5,1,0.999,3.18415,3.20709,0.81
2022-01-07/2022-12-31,3,10,1,0.998,3.1281,3.20119,0.83
2005-01-06/2005-12-31,2,5,2,0.997,3.12698,3.18967,0.89
2001-01-01/2001-12-31,5,5,1,0.998,3.17641,3.18904,0.72
2001-01-03/2001-12-31,3,5,1,0.998,3.1554,3.18812,1.0
2022-01-03/2022-12-31,6,3,1,0.997,3.15362,3.1863,0.96
2005-01-06/2005-12-31,7,10,2,0.997,3.12368,3.18623,0.79
2023-01-02/2023-06-23,7,2,1,0.999,1.72162,3.16973,0.25
2005-01-06/2005-12-31,4,2,2,0.998,3.1052,3.16706,0.98
