date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2012-01-05/2012-12-31,2012,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,15333.9916,17176.4071,0.38
2006-01-02/2006-12-31,2006,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,15256.0,16194.6325,0.17
2011-01-05/2011-12-31,2011,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,12998.8875,14924.5296,0.49
2010-01-07/2010-12-31,2010,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,11868.244,14351.5392,0.46
2010-01-04/2010-12-31,2010,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,11726.3035,13093.8321,0.45
2011-01-07/2011-12-31,2011,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,9949.359,11988.2568,0.3
2010-01-05/2010-12-31,2010,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,10304.3528,11790.8181,0.34
2011-01-04/2011-12-31,2011,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,9899.7314,11032.2298,0.3
2007-01-03/2007-12-31,2007,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,9893.1343,10744.9306,0.33
2011-01-07/2011-12-31,2011,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,8787.0294,10561.13,0.47
2012-01-04/2012-12-31,2012,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,8232.7062,8926.8034,0.31
2011-01-04/2011-12-31,2011,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,7944.0836,8829.9542,0.46
2005-01-07/2005-12-31,2005,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,6202.5033,7402.3869,0.29
2013-01-04/2013-12-31,2013,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,6365.8104,7057.2566,0.4
2012-01-03/2012-12-31,2012,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,6185.8987,6529.8504,0.31
2011-01-06/2011-12-31,2011,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5515.0109,6407.4425,0.3
2009-01-05/2009-12-31,2009,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5569.5796,6316.0999,0.28
2010-01-06/2010-12-31,2010,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,5376.1541,6243.3437,0.31
2013-01-03/2013-12-31,2013,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,5586.6368,6036.5942,0.36
2011-01-03/2011-12-31,2011,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5515.0109,5958.5091,0.29
2010-01-06/2010-12-31,2010,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5117.8381,5938.2677,0.34
2007-01-03/2007-12-31,2007,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,5327.9883,5754.6641,0.31
2010-01-01/2010-12-31,2010,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,5376.1541,5537.1004,0.3
2010-01-01/2010-12-31,2010,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5117.8381,5270.1599,0.34
2012-01-04/2012-12-31,2012,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,4581.6296,4941.8351,0.32
2005-01-07/2005-12-31,2005,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,4086.178,4835.6126,0.31
2012-01-04/2012-12-31,2012,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,4466.7604,4816.8368,0.42
2016-01-04/2016-12-31,2016,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,4285.6419,4619.8062,0.42
2016-01-07/2016-12-31,2016,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,3918.6367,4525.7398,0.42
2001-01-05/2001-12-31,2001,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,3955.5153,4463.3638,0.33
2012-01-02/2012-12-31,2012,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,4280.0219,4404.7029,0.32
2016-01-01/2016-12-31,2016,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,4285.6419,4310.2609,0.42
2001-01-02/2001-12-31,2001,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,3935.7851,4142.9971,0.33
2010-01-07/2010-12-31,2010,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,3001.6879,3530.1002,0.32
2012-01-06/2012-12-31,2012,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,3105.3459,3491.6973,0.3
2009-01-07/2009-12-31,2009,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2922.5453,3435.1662,0.49
2009-01-02/2009-12-31,2009,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,3176.4817,3339.2785,0.3
2010-01-04/2010-12-31,2010,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,3001.6879,3298.4055,0.31
2009-01-01/2009-12-31,2009,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,3176.4817,3265.6699,0.3
2009-01-06/2009-12-31,2009,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2733.6126,3137.3917,0.29
2010-01-05/2010-12-31,2010,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2778.2244,3118.8101,0.44
2008-01-07/2008-12-31,2008,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2683.2362,3078.5771,0.36
2016-01-06/2016-12-31,2016,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2588.3082,2902.6131,0.36
2008-01-07/2008-12-31,2008,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2440.6852,2795.6742,0.57
2010-01-06/2010-12-31,2010,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2440.6106,2795.5873,0.33
2008-01-02/2008-12-31,2008,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2672.5247,2745.9334,0.35
2008-01-01/2008-12-31,2008,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2672.5247,2687.0078,0.35
2009-01-07/2009-12-31,2009,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2233.4717,2610.9706,0.34
2010-01-01/2010-12-31,2010,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2440.6106,2506.8676,0.33
2008-01-02/2008-12-31,2008,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2430.9419,2496.9024,0.56
2008-01-01/2008-12-31,2008,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,2430.9419,2443.9573,0.56
2012-01-05/2012-12-31,2012,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2148.5882,2351.7011,0.31
2008-01-07/2008-12-31,2008,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2005.9051,2289.8227,0.38
2008-01-02/2008-12-31,2008,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1995.8996,2048.668,0.38
2008-01-01/2008-12-31,2008,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1995.8996,2006.3147,0.38
2010-01-06/2010-12-31,2010,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1622.1436,1844.9103,0.46
2013-01-04/2013-12-31,2013,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1616.2448,1763.1141,0.45
2010-01-01/2010-12-31,2010,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1622.1436,1663.8454,0.45
2011-01-06/2011-12-31,2011,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1452.7894,1649.1301,0.42
2010-01-05/2010-12-31,2010,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1465.3352,1629.6971,0.24
2008-01-07/2008-12-31,2008,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1410.5227,1600.3284,0.37
2012-01-05/2012-12-31,2012,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1451.3853,1581.2696,0.39
2011-01-03/2011-12-31,2011,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1452.7894,1550.9314,0.41
