date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit
2020-01-03/2020-12-31,2,4,1,0.998,2.2956660578924333,2.3075214701517313
2023-01-02/2023-06-23,2,7,1,0.998,1.4825410706213735,2.307494912491582
2023-01-06/2023-12-23,5,8,1,0.995,2.22114432605406,2.29428414542413
2020-01-07/2020-12-31,5,2,2,0.995,2.259111109054237,2.291392342117656
2023-01-02/2023-06-23,5,6,2,0.998,1.4772076548557989,2.289902605977186
2023-01-04/2023-06-23,5,8,1,0.995,1.4698667898294226,2.287713603952767
2016-01-05/2016-12-31,4,5,1,0.998,2.2635507065627287,2.2854257746878077
2009-01-01/2009-12-31,3,8,1,0.998,2.2778137812140264,2.284262222118846
2023-01-02/2023-06-23,2,6,1,0.995,1.4752159702741394,2.2833512869485975
2020-01-03/2020-12-31,3,2,2,0.995,2.2707830567996994,2.2823557852914425
2019-01-07/2019-12-31,5,4,1,0.995,2.244678386817844,2.281736482685835
2016-01-04/2016-12-31,4,5,1,0.998,2.2635507065627296,2.2802134291967033
2023-01-03/2023-06-23,2,5,2,0.995,1.4705413785273458,2.278901363028864
2017-01-04/2017-12-31,3,8,1,0.998,2.255028740353448,2.276720347507302
2023-01-03/2023-06-23,5,8,1,0.995,1.4698667898294226,2.2766689821987507
2017-01-03/2017-12-31,3,8,1,0.998,2.2550287403534486,2.271551804055121
2021-01-07/2021-12-31,4,2,2,0.998,2.223711319717787,2.2599937042560185
2009-01-01/2009-12-31,2,2,1,0.995,2.251426556202266,2.2577099536533463
2020-01-03/2020-12-31,3,5,1,0.998,2.240097401038657,2.251323880224532
2020-01-02/2020-12-31,3,5,1,0.998,2.2400974010386574,2.246310265514889
2021-01-05/2021-12-31,5,2,2,0.998,2.219042790579013,2.244987495911891
2020-01-03/2020-12-31,3,5,2,0.995,2.2332129400463923,2.2443620972872607
2020-01-01/2020-12-31,2,5,1,0.995,2.233265823781432,2.234495169513145
2023-01-04/2023-06-23,2,5,2,0.995,1.4532833726324486,2.2326179118766563
2021-01-04/2021-12-31,3,4,2,0.998,2.209527001447388,2.2302456372048356
2020-01-02/2020-12-31,3,4,2,0.998,2.223104147711933,2.229211587227048
2023-01-02/2023-06-23,3,6,1,0.995,1.4584589523737472,2.228624903796887
2021-01-04/2021-12-31,3,8,2,0.995,2.204668511903598,2.225283919461974
2021-01-07/2021-12-31,4,3,1,0.998,2.1842417518199446,2.2190751882157995
2019-01-01/2019-12-31,4,4,1,0.998,2.211923520034382,2.2179618403029666
2020-01-07/2020-12-31,2,5,2,0.998,2.1853133569133427,2.2152588201741086
2020-01-06/2020-12-31,2,5,2,0.998,2.1853133569133427,2.2103699207841747
2017-01-04/2017-12-31,4,4,1,0.995,2.1853978400085783,2.205605074717094
2009-01-01/2009-12-31,3,2,1,0.998,2.197011175179284,2.2029576106096798
2021-01-07/2021-12-31,2,4,2,0.995,2.168574924839023,2.202837360057848
2009-01-02/2009-12-31,3,3,1,0.995,2.1920305892439313,2.202720004349168
2002-01-04/2002-12-31,3,4,1,0.995,2.179463086440084,2.1995450275119652
2021-01-04/2021-12-31,3,4,2,0.995,2.1742343810863547,2.1942060954658773
2021-01-04/2021-12-31,5,2,2,0.998,2.172693799146215,2.192633065226076
2021-01-05/2021-12-31,3,7,1,0.998,2.163223528343219,2.187702652085774
2021-01-06/2021-12-31,5,4,1,0.998,2.1568290640732917,2.1858848613271658
2016-01-05/2016-12-31,4,5,1,0.995,2.1589476878291887,2.178598010665255
2023-01-02/2023-06-23,3,3,1,0.998,1.4419704694140003,2.175460676422108
2016-01-04/2016-12-31,4,5,1,0.995,2.1589476878291887,2.173916765265534
2009-01-01/2009-12-31,3,7,1,0.998,2.1678637306101654,2.173631581354692
2021-01-05/2021-12-31,3,2,2,0.995,2.148469137335352,2.172564451348246
2021-01-05/2021-12-31,5,2,2,0.995,2.1464062511696067,2.1704480233639405
2023-01-02/2023-06-23,5,6,2,0.995,1.4386672727112824,2.164891725245815
2020-01-03/2020-12-31,4,3,2,0.998,2.1535172170694414,2.1637810715966936
2009-01-01/2009-12-31,3,8,1,0.995,2.1576645509092347,2.1633702307438947
2020-01-02/2020-12-31,4,3,2,0.998,2.153517217069442,2.15919766368758
2021-01-04/2021-12-31,4,4,2,0.995,2.1339759184957314,2.153104030887771
2011-01-07/2011-12-31,2,6,1,0.998,2.119961024979182,2.152466851102978
